Year,Month,Appr,ICS,Pocket,BusFut
1993,1,58,89.3,110,97
1993,2,51,86.6,100,95
1993,3,53,85.9,111,88
1993,4,55,85.6,104,91
1993,5,45,80.3,103,76
1993,6,39,81.5,108,75
1993,7,41,77.0,102,66
1993,8,44,77.3,96,73
1993,9,46,77.9,104,76
1993,10,47,82.7,104,76
1993,11,50,81.2,107,77
1993,12,54,88.2,113,87
1994,1,54,94.3,115,99
1994,2,53,93.2,114,88
1994,3,50,91.5,105,96
1994,4,51,92.6,116,91
1994,5,51,92.8,111,96
1994,6,49,91.2,111,93
1994,7,43,89.0,116,88
1994,8,39,91.7,117,90
1994,9,42,91.5,105,91
1994,10,41,92.7,108,92
1994,11,46,91.6,109,100
1994,12,43,95.1,113,104
1995,1,47,97.6,120,99
1995,2,42,95.1,119,101
1995,3,46,90.3,110,93
1995,4,46,92.5,116,93
1995,5,51,89.8,113,88
1995,6,47,92.7,116,94
1995,7,46,94.4,113,99
1995,8,46,96.2,123,98
1995,9,44,88.9,112,87
1995,10,49,90.2,111,91
1995,11,53,88.2,108,85
1995,12,51,91.0,112,95
1996,1,46,89.3,115,80
1996,2,53,88.5,111,83
1996,3,54,93.7,112,91
1996,4,52,92.7,118,88
1996,5,55,89.4,114,86
1996,6,58,92.4,118,93
1996,7,57,94.7,115,97
1996,8,52,95.3,119,102
1996,9,60,94.7,109,105
1996,10,54,96.5,115,103
1996,11,58,99.2,121,108
1996,12,58,96.9,117,107
1997,1,62,97.4,116,103
1997,2,57,99.7,114,113
1997,3,59,100.0,119,105
1997,4,54,101.4,132,113
1997,5,57,103.2,122,109
1997,6,55,104.5,126,121
1997,7,58,107.1,130,130
1997,8,61,104.4,121,116
1997,9,61,106.0,127,119
1997,10,59,105.6,124,125
1997,11,59,107.2,130,123
1997,12,56,102.1,123,109
1998,1,60,106.6,124,123
1998,2,66,110.4,142,121
1998,3,66,106.5,128,119
1998,4,63,108.7,131,121
1998,5,64,106.5,130,118
1998,6,60,105.6,130,116
1998,7,63,105.2,132,119
1998,8,65,104.4,132,111
1998,9,63,100.9,126,117
1998,10,65,97.4,131,101
1998,11,66,102.7,130,113
1998,12,63,100.5,128,107
1999,1,69,103.9,133,110
1999,2,68,108.1,133,127
1999,3,62,105.7,130,123
1999,4,60,104.6,134,115
1999,5,60,106.8,133,114
1999,6,60,107.3,133,122
1999,7,59,106.0,132,118
1999,8,59,104.5,132,118
1999,9,60,107.2,132,124
1999,10,56,103.2,127,118
1999,11,59,107.2,138,123
1999,12,56,105.4,133,125
2000,1,59,112.0,135,133
2000,2,62,111.3,132,136
2000,3,56,107.1,135,128
2000,4,59,109.2,130,130
2000,5,57,110.7,138,133
2000,6,55,106.4,129,123
2000,7,59,108.3,130,135
2000,8,58,107.3,126,130
2000,9,60,106.8,124,136
2000,10,58,105.8,129,132
2000,11,63,107.6,133,131
2000,12,66,98.4,126,113
