nation,milspend_pct,year,nat_num,x,counter
Chad,1.0,2005.0,27.0,0.14220402,1.0
Sierra Leone,1.0,2005.0,111.0,0.14707579,2.0
Bangladesh,1.0,2005.0,12.0,0.06478082,3.0
Belgium,1.1,2005.0,14.0,0.13193078,4.0
Lithuania,1.2,2005.0,74.0,0.06822819,5.0
Uruguay,1.3,2005.0,132.0,0.13796489,6.0
Congo,1.4,2005.0,31.0,0.09046838,7.0
Peru,1.4,2005.0,100.0,0.0550891,8.0
Albania,1.4,2005.0,2.0,0.16739368,9.0
Germany,1.4,2005.0,48.0,0.050265335,10.0
Cyprus,1.4,2005.0,35.0,0.1392772,11.0
Estonia,1.5,2005.0,42.0,0.13785285,12.0
Slovenia,1.5,2005.0,114.0,0.1711179,13.0
Australia,1.8,2005.0,7.0,0.17586458,14.0
Taiwan,2.2,2005.0,121.0,0.058554504,15.0
Uganda,2.3,2005.0,130.0,0.062047858,16.0
"Korea, South",2.6,2005.0,67.0,0.026880348,17.0
Botswana,3.0,2005.0,17.0,0.10424115,18.0
Chile,3.8,2005.0,28.0,0.051375743,19.0
USA,4.1,2005.0,129.0,0.16878778,20.0
Morocco,4.5,2005.0,86.0,0.06236959,21.0
Syria,5.1,2005.0,120.0,0.16357557,22.0
