year,households,family_households__total,married_couples,married_as_pct_of_families,married_as_pct_of_households,golf_facilities,gdp
1947,39107.0,34964.0,30612.0,87.55291,78.27755,4870,244.2
1948,40532.0,36629.0,31900.0,87.08946,78.70325,4901,269.2
1949,42182.0,38080.0,33257.0,87.33456,78.84168,4926,267.3
1950,43554.0,38838.0,34075.0,87.73624,78.23621,4931,293.8
1951,44673.0,39502.0,34391.0,87.06142,76.983864,4970,339.3
1952,45538.0,40235.0,35164.0,87.396545,77.219025,5026,358.3
1953,46385.0,40540.0,35577.0,87.75777,76.69936,5056,379.4
1954,46962.0,40998.0,35926.0,87.62866,76.50015,5076,380.4
1955,47874.0,41732.0,36251.0,86.866196,75.72169,5218,414.8
1956,48902.0,42593.0,37047.0,86.97908,75.75764,5358,437.5
1957,49673.0,43262.0,37718.0,87.18506,75.9326,5553,461.1
1958,50474.0,43426.0,37911.0,87.30023,75.109955,5745,467.2
1959,51435.0,43971.0,38410.0,87.35303,74.67677,5991,506.6
1960,52799.0,44905.0,39254.0,87.41566,74.34611,6385,526.4
1961,53557.0,45383.0,39620.0,87.301414,73.97726,6623,544.7
1962,54764.0,46262.0,40404.0,87.33734,73.7784,7070,585.6
1963,55270.0,46872.0,40888.0,87.233315,73.97865,7477,617.7
1964,56149.0,47381.0,41341.0,87.25227,73.62731,7893,663.6
1965,57436.0,47838.0,41689.0,87.1462,72.5834,8323,719.1
1966,58406.0,48399.0,42263.0,87.32205,72.36072,8672,787.8
1967,59236.0,49086.0,42743.0,87.07778,72.157135,9336,832.6
1968,60813.0,50012.0,43507.0,86.99312,71.54227,9615,910.0
1969,62214.0,50729.0,44086.0,86.90492,70.86186,9926,984.6
1970,63401.0,51456.0,44728.0,86.92475,70.54778,10188,1038.5
1971,64778.0,52102.0,44928.0,86.23086,69.35688,10494,1127.1
1972,66676.0,53163.0,45724.0,86.00719,68.5764,10665,1238.3
1973,68251.0,54264.0,46297.0,85.31808,67.833435,10896,1382.7
1974,69859.0,54917.0,46787.0,85.19584,66.97347,11134,1500.0
1975,71120.0,55563.0,46951.0,84.50048,66.016594,11370,1638.3
1976,72867.0,56056.0,47297.0,84.37456,64.90867,11562,1825.3
1977,74142.0,56472.0,47471.0,84.06113,64.02714,11745,2030.9
1978,76030.0,56958.0,47357.0,83.14372,62.287254,11885,2294.7
1979,77330.0,57498.0,47662.0,82.89332,61.634552,11966,2563.3
1980,80776.0,59550.0,49112.0,82.47187,60.80024,12005,2789.5
1981,82368.0,60309.0,49294.0,81.735725,59.846058,12035,3128.4
1982,83527.0,61019.0,49630.0,81.33532,59.41791,12140,3255.0
1983,83918.0,61393.0,49908.0,81.292656,59.472343,12208,3536.7
1984,85407.0,61997.0,50090.0,80.794235,58.64859,12277,3933.2
1985,86789.0,62706.0,50350.0,80.29535,58.014263,12346,4220.3
1986,88458.0,63558.0,50933.0,80.13625,57.57874,12384,4462.8
1987,89479.0,64491.0,51537.0,79.913475,57.596756,12407,4739.5
1988,91066.0,65133.0,51809.0,79.543396,56.891705,12582,5103.8
1989,92830.0,65837.0,52100.0,79.134834,56.124096,12658,5484.4
1990,93347.0,66090.0,52317.0,79.16023,56.045723,12846,5803.1
1991,94312.0,66322.0,52147.0,78.627,55.29201,13004,5995.9
1992,95669.0,67173.0,52457.0,78.09239,54.831764,13210,6337.7
1993,96426.0,68216.0,53090.0,77.82632,55.057766,13439,6657.4
1994,97107.0,68490.0,53171.0,77.63323,54.755062,13683,7072.2
1995,98990.0,69305.0,53858.0,77.71156,54.407516,14074,7397.7
1996,99627.0,69594.0,53567.0,76.97072,53.76755,14341,7816.9
1997,101018.0,70241.0,53604.0,76.3144,53.063812,14602,8304.3
1998,102528.0,70880.0,54317.0,76.63234,52.977722,14900,8747.0
1999,103874.0,71535.0,54770.0,76.56392,52.727345,15195,9268.4
2000,104705.0,72025.0,55311.0,76.79417,52.825558,15487,9817.0
2001,108209.0,73767.0,56592.0,76.71723,52.298794,15687,10128.0
2002,109297.0,74329.0,56747.0,76.3457,51.92,15827,10469.6
2003,,,,,,15899,10960.8
2004,,,,,,16057,11685.9
2005,,,,,,16052,12433.9
2006,,,,,,15990,13194.7
2007,,,,,,15970,13841.3
